hopcount;requestratio
2;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
2;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
2;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
2;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;10
1;10
1;10
1;10
1;10
1;10
1;10
1;10
